idx	imgs	err1	err2	res1	res2
456	11-2##11-13	1	0	{'org_sentence': 'The picture on the left happens to have only one dark horse, and the picture on the right has at least two.', 'sentence': 'The picture on the left happens to have only one dark horse, and the picture on the right has at least two.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the left happens to have only one dark horse, and the picture on the right has at least two.', 'sentence': 'Left part scenario:a fenced in field ,right part scenario: a field. Therefore, the sentence is right or wrong: The picture on the left happens to have only one dark horse, and the picture on the right has at least two.', 'prediction': 1, 'label': 1}
495	50-8##50-14	1	0	{'org_sentence': 'On the left, you can see a drum with eight sides or more, and the drum on the right is gold or brown.', 'sentence': 'On the left, you can see a drum with eight sides or more, and the drum on the right is gold or brown.', 'prediction': 0, 'label': 1}	{'org_sentence': 'On the left, you can see a drum with eight sides or more, and the drum on the right is gold or brown.', 'sentence': 'Left part scenario:a barbeque ,right part scenario: chinese. Therefore, the sentence is right or wrong: On the left, you can see a drum with eight sides or more, and the drum on the right is gold or brown.', 'prediction': 1, 'label': 1}
510	17-7##17-14	-1	0	{'org_sentence': 'There are several blooming chrysanthemums on the left, and the petals of the chrysanthemums on the right are yellowish or orange.', 'sentence': 'There are several blooming chrysanthemums on the left, and the petals of the chrysanthemums on the right are yellowish or orange.', 'prediction': 1, 'label': 0}	{'org_sentence': 'There are several blooming chrysanthemums on the left, and the petals of the chrysanthemums on the right are yellowish or orange.', 'sentence': 'Left part scenario:flowers ,right part scenario: a flower. Therefore, the sentence is right or wrong: There are several blooming chrysanthemums on the left, and the petals of the chrysanthemums on the right are yellowish or orange.', 'prediction': 0, 'label': 0}
521	48-1##48-8	-1	0	{'org_sentence': 'Not only one person is playing the pipa in the two pictures, and the person on the right is underage.', 'sentence': 'Not only one person is playing the pipa in the two pictures, and the person on the right is underage.', 'prediction': 1, 'label': 0}	{'org_sentence': 'Not only one person is playing the pipa in the two pictures, and the person on the right is underage.', 'sentence': 'Left part scenario:two girls playing musical instruments ,right part scenario: a stage. Therefore, the sentence is right or wrong: Not only one person is playing the pipa in the two pictures, and the person on the right is underage.', 'prediction': 0, 'label': 0}
524	48-5##48-4	1	0	{'org_sentence': 'Not only one person is playing the pipa in the two pictures, and the person on the right is underage.', 'sentence': 'Not only one person is playing the pipa in the two pictures, and the person on the right is underage.', 'prediction': 0, 'label': 1}	{'org_sentence': 'Not only one person is playing the pipa in the two pictures, and the person on the right is underage.', 'sentence': 'Left part scenario:woman ,right part scenario: a musical performance. Therefore, the sentence is right or wrong: One of the pictures shows a girl playing the pipa alone, and no other people can be seen; the other shows several children performing the pipa together.', 'prediction': 1, 'label': 1}
543	20-2##20-19	1	0	{'org_sentence': 'The lotus in both pictures is blooming, and the left picture has exactly one purple-red lotus.', 'sentence': 'The lotus in both pictures is blooming, and the left picture has exactly one purple-red lotus.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The lotus in both pictures is blooming, and the left picture has exactly one purple-red lotus.', 'sentence': 'Left part scenario:a pond ,right part scenario: the scene is outdoors. Therefore, the sentence is right or wrong: The lotus in both pictures is blooming, and the left picture has exactly one purple-red lotus.', 'prediction': 1, 'label': 1}
560	40-5##40-11	-1	0	{'org_sentence': 'The scissors in one picture have not been unpacked, and the scissors in the other picture have been unpacked.', 'sentence': 'The scissors in one picture have not been unpacked, and the scissors in the other picture have been unpacked.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The scissors in one picture have not been unpacked, and the scissors in the other picture have been unpacked.', 'sentence': 'Left part scenario:a pair of scissors ,right part scenario: a person holding a pair of scissors. Therefore, the sentence is right or wrong: The scissors in one picture have not been unpacked, and the scissors in the other picture have been unpacked.', 'prediction': 0, 'label': 0}
566	2-7##2-5	1	0	{'org_sentence': 'The crows in the two pictures are flying without spreading their wings, and there are at least five crows in one of the pictures.', 'sentence': 'The crows in the two pictures are flying without spreading their wings, and there are at least five crows in one of the pictures.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The crows in the two pictures are flying without spreading their wings, and there are at least five crows in one of the pictures.', 'sentence': 'Left part scenario:birds on a wire ,right part scenario: a bird feeder. Therefore, the sentence is right or wrong: The crows in the two pictures are flying without spreading their wings, and there are at least five crows in one of the pictures.', 'prediction': 1, 'label': 1}
569	56-7##56-17	-1	0	{'org_sentence': 'There is fried rice in the picture on the left, and there is no fried rice or similar dishes in the picture on the right.', 'sentence': 'There is fried rice in the picture on the left, and there is no fried rice or similar dishes in the picture on the right.', 'prediction': 1, 'label': 0}	{'org_sentence': 'There is fried rice in the picture on the left, and there is no fried rice or similar dishes in the picture on the right.', 'sentence': 'Left part scenario:a meal in a banana leaf ,right part scenario: a meal. Therefore, the sentence is right or wrong: There is fried rice in the picture on the left, and there is no fried rice or similar dishes in the picture on the right.', 'prediction': 0, 'label': 0}
574	15-6##15-11	1	0	{'org_sentence': 'The birch tree in one picture is clearly sawn off, the other is not.', 'sentence': 'The birch tree in one picture is clearly sawn off, the other is not.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The birch tree in one picture is clearly sawn off, the other is not.', 'sentence': 'Left part scenario:forest ,right part scenario: wood. Therefore, the sentence is right or wrong: The birch tree in one picture is clearly sawn off, the other is not.', 'prediction': 1, 'label': 1}
580	24-8##24-13	-1	0	{'org_sentence': 'The cabbage in one picture has been cooked and served on a plate, while the other picture is not.', 'sentence': 'The cabbage in one picture has been cooked and served on a plate, while the other picture is not.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The cabbage in one picture has been cooked and served on a plate, while the other picture is not.', 'sentence': 'Left part scenario:a bowl of collard greens ,right part scenario: a field of green crops. Therefore, the sentence is right or wrong: The cabbage in one picture has been cooked and served on a plate, while the other picture is not.', 'prediction': 0, 'label': 0}
582	10-11##10-5	1	0	{'org_sentence': 'The picture on the right has at least two dark cows, and the picture on the left has one or more cows.', 'sentence': 'The picture on the right has at least two dark cows, and the picture on the left has one or more cows.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the right has at least two dark cows, and the picture on the left has one or more cows.', 'sentence': 'Left part scenario:a wildebeest in the wild ,right part scenario: a watering hole. Therefore, the sentence is right or wrong: The picture on the right has at least two dark cows, and the picture on the left has one or more cows.', 'prediction': 1, 'label': 1}
606	8-8##8-2	-1	0	{'org_sentence': 'There is only one dog in one picture, and at least two dogs of different colors in the other picture.', 'sentence': 'There is only one dog in one picture, and at least two dogs of different colors in the other picture.', 'prediction': 1, 'label': 0}	{'org_sentence': 'There is only one dog in one picture, and at least two dogs of different colors in the other picture.', 'sentence': 'Left part scenario:dog ,right part scenario: puppy. Therefore, the sentence is right or wrong: There is only one dog in one picture, and at least two dogs of different colors in the other picture.', 'prediction': 0, 'label': 0}
609	43-6##43-9	1	0	{'org_sentence': 'There are exactly three people wearing similar Tang suits in the picture on the left, and there are only one or two people in the picture on the right.', 'sentence': 'There are exactly three people wearing similar Tang suits in the picture on the left, and there are only one or two people in the picture on the right.', 'prediction': 0, 'label': 1}	{'org_sentence': 'There are exactly three people wearing similar Tang suits in the picture on the left, and there are only one or two people in the picture on the right.', 'sentence': 'Left part scenario:sitting ,right part scenario: japanese. Therefore, the sentence is right or wrong: There are exactly three people wearing similar Tang suits in the picture on the left, and there are only one or two people in the picture on the right.', 'prediction': 1, 'label': 1}
625	28-3##28-1	-1	0	{'org_sentence': 'The players on the left are all wearing basketball vests, but the people on the right are not necessarily.', 'sentence': 'The players on the left are all wearing basketball vests, but the people on the right are not necessarily.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The players on the left are all wearing basketball vests, but the people on the right are not necessarily.', 'sentence': 'Left part scenario:a basketball court ,right part scenario: a basketball court. Therefore, the sentence is right or wrong: The players on the left are all wearing basketball vests, but the people on the right are not necessarily.', 'prediction': 0, 'label': 0}
626	28-8##28-6	1	0	{'org_sentence': 'The players on the left are all wearing basketball vests, but the people on the right are not necessarily.', 'sentence': 'The players on the left are all wearing basketball vests, but the people on the right are not necessarily.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The players on the left are all wearing basketball vests, but the people on the right are not necessarily.', 'sentence': 'Left part scenario:a basketball game ,right part scenario: a basketball court. Therefore, the sentence is right or wrong: The players on the left are all wearing basketball vests, but the people on the right are not necessarily.', 'prediction': 1, 'label': 1}
630	12-6##12-4	-1	0	{'org_sentence': 'In the picture on the right, you can see obvious green space besides the willow trees, while the picture on the left has no green space.', 'sentence': 'In the picture on the right, you can see obvious green space besides the willow trees, while the picture on the left has no green space.', 'prediction': 1, 'label': 0}	{'org_sentence': 'In the picture on the right, you can see obvious green space besides the willow trees, while the picture on the left has no green space.', 'sentence': 'Left part scenario:walkway ,right part scenario: a school playground. Therefore, the sentence is right or wrong: In the picture on the right, you can see obvious green space besides the willow trees, while the picture on the left has no green space.', 'prediction': 0, 'label': 0}
633	39-15##39-9	-1	0	{'org_sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'prediction': 1, 'label': 0}	{'org_sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'sentence': 'Left part scenario:a kitchen ,right part scenario: a kitchen. Therefore, the sentence is right or wrong: There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'prediction': 0, 'label': 0}
636	39-1##39-8	1	0	{'org_sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'prediction': 0, 'label': 1}	{'org_sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'sentence': 'Left part scenario:kitchen ,right part scenario: cutting tomatoes. Therefore, the sentence is right or wrong: There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'prediction': 1, 'label': 1}
641	38-5##38-8	-1	0	{'org_sentence': 'The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'sentence': 'The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'sentence': 'Left part scenario:three spoons on a kitchen counter ,right part scenario: 3d. Therefore, the sentence is right or wrong: The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'prediction': 0, 'label': 0}
643	38-4##38-12	1	0	{'org_sentence': 'The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'sentence': 'The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'sentence': 'Left part scenario:three white bowls on a black tray ,right part scenario: a bowl of rice. Therefore, the sentence is right or wrong: The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'prediction': 1, 'label': 1}
648	23-3##23-11	1	0	{'org_sentence': 'In the picture on the right, besides the potatoes, there is a peeler, and on the left, there are several potatoes that have not been peeled.', 'sentence': 'In the picture on the right, besides the potatoes, there is a peeler, and on the left, there are several potatoes that have not been peeled.', 'prediction': 0, 'label': 1}	{'org_sentence': 'In the picture on the right, besides the potatoes, there is a peeler, and on the left, there are several potatoes that have not been peeled.', 'sentence': 'Left part scenario:a kitchen ,right part scenario: bitten into a potato. Therefore, the sentence is right or wrong: In the picture on the right, besides the potatoes, there is a peeler, and on the left, there are several potatoes that have not been peeled.', 'prediction': 1, 'label': 1}
658	4-10##4-7	-1	0	{'org_sentence': 'The picture on the right happens to have only one egret with its wings spread, while the egret on the left is not flying.', 'sentence': 'The picture on the right happens to have only one egret with its wings spread, while the egret on the left is not flying.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the right happens to have only one egret with its wings spread, while the egret on the left is not flying.', 'sentence': 'Left part scenario:two birds flying over the water ,right part scenario: grass. Therefore, the sentence is right or wrong: The picture on the right happens to have only one egret with its wings spread, while the egret on the left is not flying.', 'prediction': 0, 'label': 0}
681	30-12##30-9	-1	0	{'org_sentence': 'One picture has a football field overlooked, and the other picture shows an obvious football.', 'sentence': 'One picture has a football field overlooked, and the other picture shows an obvious football.', 'prediction': 1, 'label': 0}	{'org_sentence': 'One picture has a football field overlooked, and the other picture shows an obvious football.', 'sentence': 'Left part scenario:a soccer field ,right part scenario: soccer field. Therefore, the sentence is right or wrong: One picture has a football field overlooked, and the other picture shows an obvious football.', 'prediction': 0, 'label': 0}
682	30-10##30-11	1	0	{'org_sentence': 'One picture has a football field overlooked, and the other picture shows an obvious football.', 'sentence': 'One picture has a football field overlooked, and the other picture shows an obvious football.', 'prediction': 0, 'label': 1}	{'org_sentence': 'One picture has a football field overlooked, and the other picture shows an obvious football.', 'sentence': 'Left part scenario:soccer ball on the field ,right part scenario: a soccer stadium. Therefore, the sentence is right or wrong: One picture has a football field overlooked, and the other picture shows an obvious football.', 'prediction': 1, 'label': 1}
685	42-16##42-6	-1	0	{'org_sentence': 'In one picture, there is only one woman posing in Hanfu, and in the other picture there is at least one person wearing Hanfu.', 'sentence': 'In one picture, there is only one woman posing in Hanfu, and in the other picture there is at least one person wearing Hanfu.', 'prediction': 1, 'label': 0}	{'org_sentence': 'In one picture, there is only one woman posing in Hanfu, and in the other picture there is at least one person wearing Hanfu.', 'sentence': 'Left part scenario:two women posing for a photo ,right part scenario: hanbok. Therefore, the sentence is right or wrong: In one picture, there is only one woman posing in Hanfu, and in the other picture there is at least one person wearing Hanfu.', 'prediction': 0, 'label': 0}
690	54-12##54-14	-1	0	{'org_sentence': 'The porridge in one picture is yellow, and the other is white porridge or purple rice porridge.', 'sentence': 'The porridge in one picture is yellow, and the other is white porridge or purple rice porridge.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The porridge in one picture is yellow, and the other is white porridge or purple rice porridge.', 'sentence': 'Left part scenario:a bowl of rice ,right part scenario: bowl of soup. Therefore, the sentence is right or wrong: The porridge in one picture is yellow, and the other is white porridge or purple rice porridge.', 'prediction': 0, 'label': 0}
691	54-1##54-19	1	0	{'org_sentence': 'The porridge in one picture is yellow, and the other is white porridge or purple rice porridge.', 'sentence': 'The porridge in one picture is yellow, and the other is white porridge or purple rice porridge.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The porridge in one picture is yellow, and the other is white porridge or purple rice porridge.', 'sentence': 'Left part scenario:a bowl of soup ,right part scenario: a bowl of soup. Therefore, the sentence is right or wrong: The porridge in one picture is yellow, and the other is white porridge or purple rice porridge.', 'prediction': 1, 'label': 1}
696	18-1##18-3	-1	0	{'org_sentence': 'The peony on the left occupies at least half of the area of the picture, while the peony on the right does not.', 'sentence': 'The peony on the left occupies at least half of the area of the picture, while the peony on the right does not.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The peony on the left occupies at least half of the area of the picture, while the peony on the right does not.', 'sentence': 'Left part scenario:garden ,right part scenario: a garden. Therefore, the sentence is right or wrong: The peony on the left occupies at least half of the area of the picture, while the peony on the right does not.', 'prediction': 0, 'label': 0}
698	11-8##11-2	-1	0	{'org_sentence': 'The picture on the left happens to have only one horse, and the picture on the right has one or more brown horses.', 'sentence': 'The picture on the left happens to have only one horse, and the picture on the right has one or more brown horses.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the left happens to have only one horse, and the picture on the right has one or more brown horses.', 'sentence': 'Left part scenario:a rocky shore ,right part scenario: a fenced in field. Therefore, the sentence is right or wrong: The picture on the left happens to have only one horse, and the picture on the right has one or more brown horses.', 'prediction': 0, 'label': 0}
700	11-3##11-5	1	0	{'org_sentence': 'The picture on the left happens to have only one horse, and the picture on the right has one or more brown horses.', 'sentence': 'The picture on the left happens to have only one horse, and the picture on the right has one or more brown horses.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the left happens to have only one horse, and the picture on the right has one or more brown horses.', 'sentence': 'Left part scenario:a field ,right part scenario: a corral. Therefore, the sentence is right or wrong: The picture on the left happens to have only one horse, and the picture on the right has one or more brown horses.', 'prediction': 1, 'label': 1}
703	41-8##41-13	-1	0	{'org_sentence': 'The bowl on the left has chopsticks, and the bowl on the right has no chopsticks or spoons.', 'sentence': 'The bowl on the left has chopsticks, and the bowl on the right has no chopsticks or spoons.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The bowl on the left has chopsticks, and the bowl on the right has no chopsticks or spoons.', 'sentence': 'Left part scenario:a bowl ,right part scenario: a picnic. Therefore, the sentence is right or wrong: The bowl on the left has chopsticks, and the bowl on the right has no chopsticks or spoons.', 'prediction': 0, 'label': 0}
716	3-15##3-3	-1	0	{'org_sentence': 'In the picture on the left, there are chicks that have not grown up, and in the picture on the right, there are at least three or more chickens.', 'sentence': 'In the picture on the left, there are chicks that have not grown up, and in the picture on the right, there are at least three or more chickens.', 'prediction': 1, 'label': 0}	{'org_sentence': 'In the picture on the left, there are chicks that have not grown up, and in the picture on the right, there are at least three or more chickens.', 'sentence': 'Left part scenario:a field ,right part scenario: two chickens eating out of a silver can. Therefore, the sentence is right or wrong: In the picture on the left, there are chicks that have not grown up, and in the picture on the right, there are at least three or more chickens.', 'prediction': 0, 'label': 0}
739	50-6##50-12	1	0	{'org_sentence': 'In one picture, there is a white drum with drum sticks. In the other picture, you can see more than one drum.', 'sentence': 'In one picture, there is a white drum with drum sticks. In the other picture, you can see more than one drum.', 'prediction': 0, 'label': 1}	{'org_sentence': 'In one picture, there is a white drum with drum sticks. In the other picture, you can see more than one drum.', 'sentence': 'Left part scenario:studio ,right part scenario: a concert. Therefore, the sentence is right or wrong: In one picture, there is a white drum with drum sticks. In the other picture, you can see more than one drum.', 'prediction': 1, 'label': 1}
740	50-9##50-13	-1	0	{'org_sentence': 'In one picture, there is a white drum with drum sticks. In the other picture, you can see more than one drum.', 'sentence': 'In one picture, there is a white drum with drum sticks. In the other picture, you can see more than one drum.', 'prediction': 1, 'label': 0}	{'org_sentence': 'In one picture, there is a white drum with drum sticks. In the other picture, you can see more than one drum.', 'sentence': 'Left part scenario:a bar scene ,right part scenario: a drum set. Therefore, the sentence is right or wrong: In one picture, there is a white drum with drum sticks. In the other picture, you can see more than one drum.', 'prediction': 0, 'label': 0}
744	58-8##58-5	-1	0	{'org_sentence': 'The picture on the right contains a jug and a glass of milk, while the milk on the left is in a cup or glass bottle.', 'sentence': 'The picture on the right contains a jug and a glass of milk, while the milk on the left is in a cup or glass bottle.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the right contains a jug and a glass of milk, while the milk on the left is in a cup or glass bottle.', 'sentence': 'Left part scenario:a wooden table ,right part scenario: a grassy field. Therefore, the sentence is right or wrong: The milk in one of the pictures is neatly stacked and unopened.', 'prediction': 0, 'label': 0}
750	21-7##21-3	1	0	{'org_sentence': 'The lily on the right is not only white, but the lily on the left is blooming.', 'sentence': 'The lily on the right is not only white, but the lily on the left is blooming.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The lily on the right is not only white, but the lily on the left is blooming.', 'sentence': 'Left part scenario:close up ,right part scenario: flowers. Therefore, the sentence is right or wrong: The lily on the right is not only white, but the lily on the left is blooming.', 'prediction': 1, 'label': 1}
756	17-3##17-12	1	0	{'org_sentence': 'One picture has at most two prominent chrysanthemums, and the other picture has a lot of chrysanthemums.', 'sentence': 'One picture has at most two prominent chrysanthemums, and the other picture has a lot of chrysanthemums.', 'prediction': 0, 'label': 1}	{'org_sentence': 'One picture has at most two prominent chrysanthemums, and the other picture has a lot of chrysanthemums.', 'sentence': 'Left part scenario:flowers ,right part scenario: a white flower with a yellow center. Therefore, the sentence is right or wrong: One picture has at most two prominent chrysanthemums, and the other picture has a lot of chrysanthemums.', 'prediction': 1, 'label': 1}
759	29-15##29-6	1	0	{'org_sentence': 'Only one person is running in the picture on the right, and there are at least two people in the picture on the left.', 'sentence': 'Only one person is running in the picture on the right, and there are at least two people in the picture on the left.', 'prediction': 0, 'label': 1}	{'org_sentence': 'Only one person is running in the picture on the right, and there are at least two people in the picture on the left.', 'sentence': 'Left part scenario:two people running on the beach ,right part scenario: running. Therefore, the sentence is right or wrong: Only one person is running in the picture on the right, and there are at least two people in the picture on the left.', 'prediction': 1, 'label': 1}
760	29-2##29-16	1	0	{'org_sentence': 'Only one person is running in the picture on the right, and there are at least two people in the picture on the left.', 'sentence': 'Only one person is running in the picture on the right, and there are at least two people in the picture on the left.', 'prediction': 0, 'label': 1}	{'org_sentence': 'Only one person is running in the picture on the right, and there are at least two people in the picture on the left.', 'sentence': 'Left part scenario:marathon ,right part scenario: tennis court. Therefore, the sentence is right or wrong: Only one person is running in the picture on the right, and there are at least two people in the picture on the left.', 'prediction': 1, 'label': 1}
780	37-11##37-10	1	0	{'org_sentence': 'One picture has exactly one pair of chopsticks placed on the bowl, and the other picture has more than one pair of light-colored chopsticks.', 'sentence': 'One picture has exactly one pair of chopsticks placed on the bowl, and the other picture has more than one pair of light-colored chopsticks.', 'prediction': 0, 'label': 1}	{'org_sentence': 'One picture has exactly one pair of chopsticks placed on the bowl, and the other picture has more than one pair of light-colored chopsticks.', 'sentence': 'Left part scenario:a bowl of noodles ,right part scenario: chopsticks on a plate. Therefore, the sentence is right or wrong: One picture has exactly one pair of chopsticks placed on the bowl, and the other picture has more than one pair of light-colored chopsticks.', 'prediction': 1, 'label': 1}
785	20-10##20-14	1	0	{'org_sentence': 'The picture on the right happens to have only one very obvious pale lotus, and the picture on the left shows two obvious purple lotuses.', 'sentence': 'The picture on the right happens to have only one very obvious pale lotus, and the picture on the left shows two obvious purple lotuses.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the right happens to have only one very obvious pale lotus, and the picture on the left shows two obvious purple lotuses.', 'sentence': 'Left part scenario:two water lilies in a pond ,right part scenario: water lily. Therefore, the sentence is right or wrong: The picture on the right happens to have only one very obvious pale lotus, and the picture on the left shows two obvious purple lotuses.', 'prediction': 1, 'label': 1}
788	20-6##20-8	1	0	{'org_sentence': 'The picture on the right happens to have only one very obvious pale lotus, and the picture on the left shows two obvious purple lotuses.', 'sentence': 'The picture on the right happens to have only one very obvious pale lotus, and the picture on the left shows two obvious purple lotuses.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the right happens to have only one very obvious pale lotus, and the picture on the left shows two obvious purple lotuses.', 'sentence': 'Left part scenario:pink water lilies in a pond ,right part scenario: a pond. Therefore, the sentence is right or wrong: The picture on the right happens to have only one very obvious pale lotus, and the picture on the left shows two obvious purple lotuses.', 'prediction': 1, 'label': 1}
799	13-5##13-4	1	0	{'org_sentence': 'The trunk of the ginkgo tree in the picture on the left is coated with white lime.', 'sentence': 'The trunk of the ginkgo tree in the picture on the left is coated with white lime.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The trunk of the ginkgo tree in the picture on the left is coated with white lime.', 'sentence': 'Left part scenario:a cemetery ,right part scenario: tree. Therefore, the sentence is right or wrong: The trunk of the ginkgo tree in the picture on the left is coated with white lime.', 'prediction': 1, 'label': 1}
800	13-7##13-8	1	0	{'org_sentence': 'The trunk of the ginkgo tree in the picture on the left is coated with white lime.', 'sentence': 'The trunk of the ginkgo tree in the picture on the left is coated with white lime.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The trunk of the ginkgo tree in the picture on the left is coated with white lime.', 'sentence': 'Left part scenario:a park ,right part scenario: meadow. Therefore, the sentence is right or wrong: The trunk of the ginkgo tree in the picture on the left is coated with white lime.', 'prediction': 1, 'label': 1}
805	40-5##40-13	-1	0	{'org_sentence': 'The scissors in the picture on the right are being used.', 'sentence': 'The scissors in the picture on the right are being used.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The scissors in the picture on the right are being used.', 'sentence': 'Left part scenario:a pair of scissors ,right part scenario: a haircut. Therefore, the sentence is right or wrong: The scissors in the picture on the right are being used.', 'prediction': 0, 'label': 0}
811	52-20##52-18	-1	0	{'org_sentence': 'At least one pot is a mandarin duck pot.', 'sentence': 'At least one pot is a mandarin duck pot.', 'prediction': 1, 'label': 0}	{'org_sentence': 'At least one pot is a mandarin duck pot.', 'sentence': 'Left part scenario:a kitchen ,right part scenario: lunch. Therefore, the sentence is right or wrong: At least one pot is a mandarin duck pot.', 'prediction': 0, 'label': 0}
825	10-4##10-9	-1	0	{'org_sentence': 'The cows in the two pictures add up to more than five.', 'sentence': 'The cows in the two pictures add up to more than five.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The cows in the two pictures add up to more than five.', 'sentence': 'Left part scenario:a herd of cows standing in a field ,right part scenario: a pond. Therefore, the sentence is right or wrong: The cows in the two pictures add up to more than five.', 'prediction': 0, 'label': 0}
835	27-8##27-7	-1	0	{'org_sentence': 'The person in one of the pictures is serving the ball.', 'sentence': 'The person in one of the pictures is serving the ball.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The person in one of the pictures is serving the ball.', 'sentence': 'Left part scenario:tennis ,right part scenario: a game of table tennis. Therefore, the sentence is right or wrong: The person in one of the pictures is serving the ball.', 'prediction': 0, 'label': 0}
836	27-2##27-1	-1	0	{'org_sentence': 'The person in one of the pictures is serving the ball.', 'sentence': 'The person in one of the pictures is serving the ball.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The person in one of the pictures is serving the ball.', 'sentence': 'Left part scenario:a game of table tennis ,right part scenario: a game of ping pong. Therefore, the sentence is right or wrong: The person in one of the pictures is serving the ball.', 'prediction': 0, 'label': 0}
837	45-13##45-12	1	0	{'org_sentence': 'In the picture on the left, there are two adult men in suits.', 'sentence': 'In the picture on the left, there are two adult men in suits.', 'prediction': 0, 'label': 1}	{'org_sentence': 'In the picture on the left, there are two adult men in suits.', 'sentence': 'Left part scenario:man ,right part scenario: man. Therefore, the sentence is right or wrong: In the picture on the left, there are two adult men in suits.', 'prediction': 1, 'label': 1}
844	35-6##35-7	1	0	{'org_sentence': 'A yellow note appeared in one picture, and the other one was the Ching Ming Festival event', 'sentence': 'A yellow note appeared in one picture, and the other one was the Ching Ming Festival event', 'prediction': 0, 'label': 1}	{'org_sentence': 'A yellow note appeared in one picture, and the other one was the Ching Ming Festival event', 'sentence': 'Left part scenario:a cinder block pit ,right part scenario: two boys standing in front of a barber shop. Therefore, the sentence is right or wrong: A yellow note appeared in one picture, and the other one was the Ching Ming Festival event', 'prediction': 1, 'label': 1}
856	43-3##43-1	-1	0	{'org_sentence': 'The picture on the left shows a person wearing Tang suit alone, and the picture on the right shows several people wearing Tang suit.', 'sentence': 'The picture on the left shows a person wearing Tang suit alone, and the picture on the right shows several people wearing Tang suit.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the left shows a person wearing Tang suit alone, and the picture on the right shows several people wearing Tang suit.', 'sentence': "Left part scenario:church ,right part scenario: men's. Therefore, the sentence is right or wrong: The picture on the left shows a person wearing Tang suit alone, and the picture on the right shows several people wearing Tang suit.", 'prediction': 0, 'label': 0}
877	39-2##39-3	1	0	{'org_sentence': 'There are knives and chopping boards in both pictures, and one of them has a sliced cucumber.', 'sentence': 'There are knives and chopping boards in both pictures, and one of them has a sliced cucumber.', 'prediction': 0, 'label': 1}	{'org_sentence': 'There are knives and chopping boards in both pictures, and one of them has a sliced cucumber.', 'sentence': 'Left part scenario:sliced cucumber on a cutting board ,right part scenario: a picnic table. Therefore, the sentence is right or wrong: There are knives and chopping boards in both pictures, and one of them has a sliced cucumber.', 'prediction': 1, 'label': 1}
