idx	imgs	err1	err2	res1	res2
296	10-12##10-11	0	-1	{'org_sentence': 'The picture on the left has at least two dark cows, and the picture on the right has several brown cows.', 'sentence': 'The picture on the left has at least two dark cows, and the picture on the right has several brown cows.', 'prediction': 0, 'label': 0}	{'org_sentence': 'The picture on the left has at least two dark cows, and the picture on the right has several brown cows.', 'sentence': 'Left part scenario:a cow standing in a field ,right part scenario: a wildebeest in the wild. Therefore, the sentence is right or wrong: The cows in the two pictures add up to more than five.', 'prediction': 1, 'label': 0}
297	45-13##45-12	0	-1	{'org_sentence': 'In one picture, there are two men in suits, and the other is a woman or group photo.', 'sentence': 'In one picture, there are two men in suits, and the other is a woman or group photo.', 'prediction': 0, 'label': 0}	{'org_sentence': 'In one picture, there are two men in suits, and the other is a woman or group photo.', 'sentence': 'Left part scenario:man ,right part scenario: man. Therefore, the sentence is right or wrong: In the picture on the left, there are two adult men in suits.', 'prediction': 1, 'label': 0}
305	13-3##13-7	0	1	{'org_sentence': 'One picture has ginkgo trees and dark green grass, the other picture has ginkgo trees but the ground is not visible.', 'sentence': 'One picture has ginkgo trees and dark green grass, the other picture has ginkgo trees but the ground is not visible.', 'prediction': 1, 'label': 1}	{'org_sentence': 'One picture has ginkgo trees and dark green grass, the other picture has ginkgo trees but the ground is not visible.', 'sentence': 'Left part scenario:a street lined with buildings ,right part scenario: a park. Therefore, the sentence is right or wrong: One picture has ginkgo trees and dark green grass, the other picture has ginkgo trees but the ground is not visible.', 'prediction': 0, 'label': 1}
310	49-10##49-2	0	1	{'org_sentence': 'In the picture on the left, there happens to be a woman playing zithers, and in the picture on the right, there are some zithers but no one.', 'sentence': 'In the picture on the left, there happens to be a woman playing zithers, and in the picture on the right, there are some zithers but no one.', 'prediction': 1, 'label': 1}	{'org_sentence': 'In the picture on the left, there happens to be a woman playing zithers, and in the picture on the right, there are some zithers but no one.', 'sentence': 'Left part scenario:a stage ,right part scenario: a shopping mall. Therefore, the sentence is right or wrong: In the picture on the left, there happens to be a woman playing zithers, and in the picture on the right, there are some zithers but no one.', 'prediction': 0, 'label': 1}
311	49-7##49-4	0	1	{'org_sentence': 'In the picture on the left, there happens to be a woman playing zithers, and in the picture on the right, there are some zithers but no one.', 'sentence': 'In the picture on the left, there happens to be a woman playing zithers, and in the picture on the right, there are some zithers but no one.', 'prediction': 1, 'label': 1}	{'org_sentence': 'In the picture on the left, there happens to be a woman playing zithers, and in the picture on the right, there are some zithers but no one.', 'sentence': 'Left part scenario:a scene with a woman playing a xylophone ,right part scenario: store. Therefore, the sentence is right or wrong: In the picture on the left, there happens to be a woman playing zithers, and in the picture on the right, there are some zithers but no one.', 'prediction': 0, 'label': 1}
320	52-9##52-13	1	0	{'org_sentence': 'At least one of the two pictures shows a mandarin duck pot.', 'sentence': 'At least one of the two pictures shows a mandarin duck pot.', 'prediction': 0, 'label': 1}	{'org_sentence': 'At least one of the two pictures shows a mandarin duck pot.', 'sentence': 'Left part scenario:a meal is being prepared ,right part scenario: a stir fry. Therefore, the sentence is right or wrong: At least one of the two pictures shows a mandarin duck pot.', 'prediction': 1, 'label': 1}
322	2-8##2-3	0	1	{'org_sentence': 'There are five crows on the right, two crows on the left.', 'sentence': 'There are five crows on the right, two crows on the left.', 'prediction': 1, 'label': 1}	{'org_sentence': 'There are five crows on the right, two crows on the left.', 'sentence': 'Left part scenario:desert ,right part scenario: a group of crows gathered around food. Therefore, the sentence is right or wrong: The crows in the two pictures are flying without spreading their wings, and there are at least five crows in one of the pictures.', 'prediction': 0, 'label': 1}
323	2-1##2-6	0	-1	{'org_sentence': 'There are five crows on the right, two crows on the left.', 'sentence': 'There are five crows on the right, two crows on the left.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There are five crows on the right, two crows on the left.', 'sentence': 'Left part scenario:a bird standing on the ground ,right part scenario: a park. Therefore, the sentence is right or wrong: There are five crows on the right, two crows on the left.', 'prediction': 1, 'label': 0}
328	56-13##56-4	0	1	{'org_sentence': 'The white rice in one picture is placed on a plate without any side dishes, the other picture has side dishes and green vegetables.', 'sentence': 'The white rice in one picture is placed on a plate without any side dishes, the other picture has side dishes and green vegetables.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The white rice in one picture is placed on a plate without any side dishes, the other picture has side dishes and green vegetables.', 'sentence': 'Left part scenario:a gray placemat ,right part scenario: kitchen. Therefore, the sentence is right or wrong: The white rice in one picture is placed on a plate without any side dishes, the other picture has side dishes and green vegetables.', 'prediction': 0, 'label': 1}
330	15-17##15-8	1	0	{'org_sentence': 'Both pictures focus on the trunk of the birch tree, not the leaves.', 'sentence': 'Both pictures focus on the trunk of the birch tree, not the leaves.', 'prediction': 0, 'label': 1}	{'org_sentence': 'Both pictures focus on the trunk of the birch tree, not the leaves.', 'sentence': 'Left part scenario:a forest ,right part scenario: forest. Therefore, the sentence is right or wrong: Both pictures focus on the trunk of the birch tree, not the leaves.', 'prediction': 1, 'label': 1}
331	15-4##15-13	-1	0	{'org_sentence': 'Both pictures focus on the trunk of the birch tree, not the leaves.', 'sentence': 'Both pictures focus on the trunk of the birch tree, not the leaves.', 'prediction': 1, 'label': 0}	{'org_sentence': 'Both pictures focus on the trunk of the birch tree, not the leaves.', 'sentence': 'Left part scenario:a forest ,right part scenario: a forest. Therefore, the sentence is right or wrong: Both pictures focus on the trunk of the birch tree, not the leaves.', 'prediction': 0, 'label': 0}
334	24-1##24-5	1	0	{'org_sentence': 'The pakchoi on the left has been cooked into a plate, while the one on the right has not been cooked.', 'sentence': 'The pakchoi on the left has been cooked into a plate, while the one on the right has not been cooked.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The pakchoi on the left has been cooked into a plate, while the one on the right has not been cooked.', 'sentence': 'Left part scenario:asian ,right part scenario: a wooden table. Therefore, the sentence is right or wrong: The pakchoi on the left has been cooked into a plate, while the one on the right has not been cooked.', 'prediction': 1, 'label': 1}
337	10-3##10-6	0	-1	{'org_sentence': 'The picture on the right has exactly one cow, and the picture on the left has more than one cow and is light-colored.', 'sentence': 'The picture on the right has exactly one cow, and the picture on the left has more than one cow and is light-colored.', 'prediction': 0, 'label': 0}	{'org_sentence': 'The picture on the right has exactly one cow, and the picture on the left has more than one cow and is light-colored.', 'sentence': 'Left part scenario:a herd of cows walking down a road ,right part scenario: a cow standing in a field. Therefore, the sentence is right or wrong: The picture on the right has exactly one cow, and the picture on the left has more than one cow and is light-colored.', 'prediction': 1, 'label': 0}
338	10-8##10-9	1	0	{'org_sentence': 'The picture on the right has exactly one cow, and the picture on the left has more than one cow and is light-colored.', 'sentence': 'The picture on the right has exactly one cow, and the picture on the left has more than one cow and is light-colored.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the right has exactly one cow, and the picture on the left has more than one cow and is light-colored.', 'sentence': 'Left part scenario:a watering hole ,right part scenario: a pond. Therefore, the sentence is right or wrong: The picture on the right has exactly one cow, and the picture on the left has more than one cow and is light-colored.', 'prediction': 1, 'label': 1}
344	19-18##19-2	-1	0	{'org_sentence': 'In the picture on the right, there is only one rosy orchid in bloom, and in the picture on the left there are several blooming orchids.', 'sentence': 'In the picture on the right, there is only one rosy orchid in bloom, and in the picture on the left there are several blooming orchids.', 'prediction': 1, 'label': 0}	{'org_sentence': 'In the picture on the right, there is only one rosy orchid in bloom, and in the picture on the left there are several blooming orchids.', 'sentence': 'Left part scenario:a floral arrangement ,right part scenario: a vase. Therefore, the sentence is right or wrong: In the picture on the right, there is only one rosy orchid in bloom, and in the picture on the left there are several blooming orchids.', 'prediction': 0, 'label': 0}
348	27-7##27-8	0	1	{'org_sentence': 'In the picture on the left, there is only one player playing table tennis, and the player on the right is holding a racket with a blade.', 'sentence': 'In the picture on the left, there is only one player playing table tennis, and the player on the right is holding a racket with a blade.', 'prediction': 1, 'label': 1}	{'org_sentence': 'In the picture on the left, there is only one player playing table tennis, and the player on the right is holding a racket with a blade.', 'sentence': 'Left part scenario:a game of table tennis ,right part scenario: tennis. Therefore, the sentence is right or wrong: In the picture on the left, there is only one player playing table tennis, and the player on the right is holding a racket with a blade.', 'prediction': 0, 'label': 1}
357	6-26##6-8	1	0	{'org_sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'sentence': 'Left part scenario:a shark in the ocean ,right part scenario: koi fish in a pond. Therefore, the sentence is right or wrong: The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'prediction': 1, 'label': 1}
358	6-38##6-3	1	0	{'org_sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'sentence': 'Left part scenario:fish ,right part scenario: koi fish in a pond. Therefore, the sentence is right or wrong: The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'prediction': 1, 'label': 1}
359	6-27##6-24	-1	0	{'org_sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'sentence': 'Left part scenario:shark ,right part scenario: fishing. Therefore, the sentence is right or wrong: The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'prediction': 0, 'label': 0}
360	6-36##6-17	0	-1	{'org_sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'prediction': 0, 'label': 0}	{'org_sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'sentence': 'Left part scenario:fish ,right part scenario: a fish market. Therefore, the sentence is right or wrong: The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'prediction': 1, 'label': 0}
361	8-1##8-11	-1	0	{'org_sentence': 'The picture on the left has exactly one dog, and the picture on the right has exactly two.', 'sentence': 'The picture on the left has exactly one dog, and the picture on the right has exactly two.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the left has exactly one dog, and the picture on the right has exactly two.', 'sentence': 'Left part scenario:dog ,right part scenario: dog running in the snow. Therefore, the sentence is right or wrong: The picture on the left has exactly one dog, and the picture on the right has exactly two.', 'prediction': 0, 'label': 0}
362	8-3##8-4	0	1	{'org_sentence': 'The picture on the left has exactly one dog, and the picture on the right has exactly two.', 'sentence': 'The picture on the left has exactly one dog, and the picture on the right has exactly two.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The picture on the left has exactly one dog, and the picture on the right has exactly two.', 'sentence': 'Left part scenario:a dirt road ,right part scenario: two dogs sleeping together. Therefore, the sentence is right or wrong: The picture on the left has exactly one dog, and the picture on the right has exactly two.', 'prediction': 0, 'label': 1}
365	43-4##43-8	0	-1	{'org_sentence': 'There are exactly three people wearing Tang suits in the picture on the left, and the people in the picture on the right are wearing blue or red Tang suits.', 'sentence': 'There are exactly three people wearing Tang suits in the picture on the left, and the people in the picture on the right are wearing blue or red Tang suits.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There are exactly three people wearing Tang suits in the picture on the left, and the people in the picture on the right are wearing blue or red Tang suits.', 'sentence': 'Left part scenario:a painting ,right part scenario: carnival. Therefore, the sentence is right or wrong: There are exactly three people wearing Tang suits in the picture on the left, and the people in the picture on the right are wearing blue or red Tang suits.', 'prediction': 1, 'label': 0}
368	43-9##43-2	0	-1	{'org_sentence': 'There are exactly three people wearing Tang suits in the picture on the left, and the people in the picture on the right are wearing blue or red Tang suits.', 'sentence': 'There are exactly three people wearing Tang suits in the picture on the left, and the people in the picture on the right are wearing blue or red Tang suits.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There are exactly three people wearing Tang suits in the picture on the left, and the people in the picture on the right are wearing blue or red Tang suits.', 'sentence': 'Left part scenario:japanese ,right part scenario: in a living room. Therefore, the sentence is right or wrong: The picture on the left shows a person wearing Tang suit alone, and the picture on the right shows several people wearing Tang suit.', 'prediction': 1, 'label': 0}
369	36-8##36-11	0	1	{'org_sentence': 'There are obvious and complete roses in one picture, but not in the other picture.', 'sentence': 'There are obvious and complete roses in one picture, but not in the other picture.', 'prediction': 1, 'label': 1}	{'org_sentence': 'There are obvious and complete roses in one picture, but not in the other picture.', 'sentence': 'Left part scenario:a bouquet of roses ,right part scenario: a yard. Therefore, the sentence is right or wrong: There are obvious and complete roses in one picture, but not in the other picture.', 'prediction': 0, 'label': 1}
370	36-12##36-14	0	1	{'org_sentence': 'There are obvious and complete roses in one picture, but not in the other picture.', 'sentence': 'There are obvious and complete roses in one picture, but not in the other picture.', 'prediction': 1, 'label': 1}	{'org_sentence': 'There are obvious and complete roses in one picture, but not in the other picture.', 'sentence': 'Left part scenario:sidewalk ,right part scenario: a blurry picture of a flower. Therefore, the sentence is right or wrong: There are obvious and complete roses in one picture, but not in the other picture.', 'prediction': 0, 'label': 1}
371	36-7##36-13	-1	0	{'org_sentence': 'There are obvious and complete roses in one picture, but not in the other picture.', 'sentence': 'There are obvious and complete roses in one picture, but not in the other picture.', 'prediction': 1, 'label': 0}	{'org_sentence': 'There are obvious and complete roses in one picture, but not in the other picture.', 'sentence': "Left part scenario:a valentine's day ,right part scenario: a temple. Therefore, the sentence is right or wrong: There are obvious and complete roses in one picture, but not in the other picture.", 'prediction': 0, 'label': 0}
372	36-9##36-2	0	-1	{'org_sentence': 'There are obvious and complete roses in one picture, but not in the other picture.', 'sentence': 'There are obvious and complete roses in one picture, but not in the other picture.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There are obvious and complete roses in one picture, but not in the other picture.', 'sentence': 'Left part scenario:a room full of stuffed animals ,right part scenario: birthday. Therefore, the sentence is right or wrong: There are obvious and complete roses in one picture, but not in the other picture.', 'prediction': 1, 'label': 0}
374	61-8##61-12	-1	0	{'org_sentence': 'The milk tea in both pictures has pearls added, and the picture on the left happens to have only one cup.', 'sentence': 'The milk tea in both pictures has pearls added, and the picture on the left happens to have only one cup.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The milk tea in both pictures has pearls added, and the picture on the left happens to have only one cup.', 'sentence': 'Left part scenario:a person holding a cup of bubble tea ,right part scenario: a drink and newspaper on a wooden board. Therefore, the sentence is right or wrong: The milk tea in both pictures has pearls added, and the picture on the left happens to have only one cup.', 'prediction': 0, 'label': 0}
376	61-10##61-5	0	1	{'org_sentence': 'The milk tea in both pictures has pearls added, and the picture on the left happens to have only one cup.', 'sentence': 'The milk tea in both pictures has pearls added, and the picture on the left happens to have only one cup.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The milk tea in both pictures has pearls added, and the picture on the left happens to have only one cup.', 'sentence': 'Left part scenario:a glass of bubble tea ,right part scenario: two people sitting at a table. Therefore, the sentence is right or wrong: The milk tea in both pictures has pearls added, and the picture on the left happens to have only one cup.', 'prediction': 0, 'label': 1}
378	44-8##44-6	0	1	{'org_sentence': 'There are women wearing cheongsam in both pictures, and there are at least three.', 'sentence': 'There are women wearing cheongsam in both pictures, and there are at least three.', 'prediction': 1, 'label': 1}	{'org_sentence': 'There are women wearing cheongsam in both pictures, and there are at least three.', 'sentence': 'Left part scenario:a fashion show ,right part scenario: asian women performing a dance. Therefore, the sentence is right or wrong: There are women wearing cheongsam in both pictures, and there are at least three.', 'prediction': 0, 'label': 1}
379	44-2##44-1	-1	0	{'org_sentence': 'There are women wearing cheongsam in both pictures, and there are at least three.', 'sentence': 'There are women wearing cheongsam in both pictures, and there are at least three.', 'prediction': 1, 'label': 0}	{'org_sentence': 'There are women wearing cheongsam in both pictures, and there are at least three.', 'sentence': 'Left part scenario:walking ,right part scenario: walking down the street. Therefore, the sentence is right or wrong: There are women wearing cheongsam in both pictures, and there are at least three.', 'prediction': 0, 'label': 0}
384	28-9##28-13	0	1	{'org_sentence': 'The person on the left is playing basketball on the indoor basketball court, and the person on the right is outdoors.', 'sentence': 'The person on the left is playing basketball on the indoor basketball court, and the person on the right is outdoors.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The person on the left is playing basketball on the indoor basketball court, and the person on the right is outdoors.', 'sentence': 'Left part scenario:a basketball game ,right part scenario: a basketball game. Therefore, the sentence is right or wrong: The person on the left is playing basketball on the indoor basketball court, and the person on the right is outdoors.', 'prediction': 0, 'label': 1}
387	12-5##12-6	0	-1	{'org_sentence': 'In addition to the willow trees, there are lakes in the picture on the right, and the leaves of the willow in the picture on the left are darker.', 'sentence': 'In addition to the willow trees, there are lakes in the picture on the right, and the leaves of the willow in the picture on the left are darker.', 'prediction': 0, 'label': 0}	{'org_sentence': 'In addition to the willow trees, there are lakes in the picture on the right, and the leaves of the willow in the picture on the left are darker.', 'sentence': 'Left part scenario:meadow ,right part scenario: walkway. Therefore, the sentence is right or wrong: In addition to the willow trees, there are lakes in the picture on the right, and the leaves of the willow in the picture on the left are darker.', 'prediction': 1, 'label': 0}
396	9-17##9-3	0	1	{'org_sentence': 'There is exactly one panda in both pictures, and neither of them is moving.', 'sentence': 'There is exactly one panda in both pictures, and neither of them is moving.', 'prediction': 1, 'label': 1}	{'org_sentence': 'There is exactly one panda in both pictures, and neither of them is moving.', 'sentence': 'Left part scenario:a panda in a tree ,right part scenario: a panda sitting on a pile of logs. Therefore, the sentence is right or wrong: There is exactly one panda in both pictures, and neither of them is moving.', 'prediction': 0, 'label': 1}
397	38-11##38-5	0	1	{'org_sentence': 'There are exactly three spoons in the picture on the right, and no more than two in the picture on the left.', 'sentence': 'There are exactly three spoons in the picture on the right, and no more than two in the picture on the left.', 'prediction': 1, 'label': 1}	{'org_sentence': 'There are exactly three spoons in the picture on the right, and no more than two in the picture on the left.', 'sentence': 'Left part scenario:a white background ,right part scenario: three spoons on a kitchen counter. Therefore, the sentence is right or wrong: There are exactly three spoons in the picture on the right, and no more than two in the picture on the left.', 'prediction': 0, 'label': 1}
404	23-3##23-11	1	0	{'org_sentence': 'In both pictures, you can see the whole potato, which has not been shredded or cooked.', 'sentence': 'In both pictures, you can see the whole potato, which has not been shredded or cooked.', 'prediction': 0, 'label': 1}	{'org_sentence': 'In both pictures, you can see the whole potato, which has not been shredded or cooked.', 'sentence': 'Left part scenario:a kitchen ,right part scenario: bitten into a potato. Therefore, the sentence is right or wrong: In the picture on the right, besides the potatoes, there is a peeler, and on the left, there are several potatoes that have not been peeled.', 'prediction': 1, 'label': 1}
410	5-10##5-7	0	1	{'org_sentence': 'The picture on the right has exactly one hummingbird facing right, and the picture on the left has only one hummingbird facing left.', 'sentence': 'The picture on the right has exactly one hummingbird facing right, and the picture on the left has only one hummingbird facing left.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The picture on the right has exactly one hummingbird facing right, and the picture on the left has only one hummingbird facing left.', 'sentence': 'Left part scenario:a hummingbird in flight ,right part scenario: a bird at a bird feeder. Therefore, the sentence is right or wrong: The picture on the right has exactly one hummingbird facing right, and the picture on the left has only one hummingbird facing left.', 'prediction': 0, 'label': 1}
412	5-6##5-13	0	1	{'org_sentence': 'The picture on the right has exactly one hummingbird facing right, and the picture on the left has only one hummingbird facing left.', 'sentence': 'The picture on the right has exactly one hummingbird facing right, and the picture on the left has only one hummingbird facing left.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The picture on the right has exactly one hummingbird facing right, and the picture on the left has only one hummingbird facing left.', 'sentence': 'Left part scenario:a bird sitting on a brick ,right part scenario: hummingbird at a flower. Therefore, the sentence is right or wrong: The picture on the right has exactly one hummingbird facing right, and the picture on the left has only one hummingbird facing left.', 'prediction': 0, 'label': 1}
413	4-14##4-10	0	-1	{'org_sentence': 'There happens to be only one egret in both pictures, and the one on the right is not flying.', 'sentence': 'There happens to be only one egret in both pictures, and the one on the right is not flying.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There happens to be only one egret in both pictures, and the one on the right is not flying.', 'sentence': 'Left part scenario:a bird flying over water ,right part scenario: two birds flying over the water. Therefore, the sentence is right or wrong: There happens to be only one egret in both pictures, and the one on the right is not flying.', 'prediction': 1, 'label': 0}
416	4-13##4-4	0	-1	{'org_sentence': 'There happens to be only one egret in both pictures, and the one on the right is not flying.', 'sentence': 'There happens to be only one egret in both pictures, and the one on the right is not flying.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There happens to be only one egret in both pictures, and the one on the right is not flying.', 'sentence': 'Left part scenario:a wetland ,right part scenario: a flock of birds. Therefore, the sentence is right or wrong: There happens to be only one egret in both pictures, and the one on the right is not flying.', 'prediction': 1, 'label': 0}
423	32-8##32-11	0	-1	{'org_sentence': 'One of the pictures shows the streets of the market during the Spring Festival, and the other shows the Spring Festival couplets with the word blessing.', 'sentence': 'One of the pictures shows the streets of the market during the Spring Festival, and the other shows the Spring Festival couplets with the word blessing.', 'prediction': 0, 'label': 0}	{'org_sentence': 'One of the pictures shows the streets of the market during the Spring Festival, and the other shows the Spring Festival couplets with the word blessing.', 'sentence': 'Left part scenario:chinese new year ,right part scenario: orange envelopes. Therefore, the sentence is right or wrong: One of the pictures shows the streets of the market during the Spring Festival, and the other shows the Spring Festival couplets with the word blessing.', 'prediction': 1, 'label': 0}
426	47-4##47-6	0	-1	{'org_sentence': 'In the picture on the right, there is a girl pulling the erhu, and in the picture on the left, there is more than one person pulling the erhu.', 'sentence': 'In the picture on the right, there is a girl pulling the erhu, and in the picture on the left, there is more than one person pulling the erhu.', 'prediction': 0, 'label': 0}	{'org_sentence': 'In the picture on the right, there is a girl pulling the erhu, and in the picture on the left, there is more than one person pulling the erhu.', 'sentence': 'Left part scenario:two women on stage ,right part scenario: orchestra. Therefore, the sentence is right or wrong: In the picture on the right, there is a girl pulling the erhu, and in the picture on the left, there is more than one person pulling the erhu.', 'prediction': 1, 'label': 0}
429	31-8##31-2	0	1	{'org_sentence': 'Both pictures are swimming pools rather than oceans or lakes, and there is more than one person in the picture on the right.', 'sentence': 'Both pictures are swimming pools rather than oceans or lakes, and there is more than one person in the picture on the right.', 'prediction': 1, 'label': 1}	{'org_sentence': 'Both pictures are swimming pools rather than oceans or lakes, and there is more than one person in the picture on the right.', 'sentence': 'Left part scenario:a tunnel in the snow ,right part scenario: a competitive swimming event. Therefore, the sentence is right or wrong: Both pictures are swimming pools rather than oceans or lakes, and there is more than one person in the picture on the right.', 'prediction': 0, 'label': 1}
431	31-9##31-5	0	-1	{'org_sentence': 'Both pictures are swimming pools rather than oceans or lakes, and there is more than one person in the picture on the right.', 'sentence': 'Both pictures are swimming pools rather than oceans or lakes, and there is more than one person in the picture on the right.', 'prediction': 0, 'label': 0}	{'org_sentence': 'Both pictures are swimming pools rather than oceans or lakes, and there is more than one person in the picture on the right.', 'sentence': 'Left part scenario:scuba diver ,right part scenario: a swimming pool. Therefore, the sentence is right or wrong: Both pictures are swimming pools rather than oceans or lakes, and there is more than one person in the picture on the right.', 'prediction': 1, 'label': 0}
441	42-8##42-13	0	1	{'org_sentence': 'The picture on the left shows more than one person wearing Hanfu, and the picture on the right shows a woman wearing Hanfu facing the front.', 'sentence': 'The picture on the left shows more than one person wearing Hanfu, and the picture on the right shows a woman wearing Hanfu facing the front.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The picture on the left shows more than one person wearing Hanfu, and the picture on the right shows a woman wearing Hanfu facing the front.', 'sentence': 'Left part scenario:street ,right part scenario: a forest. Therefore, the sentence is right or wrong: The picture on the left shows more than one person wearing Hanfu, and the picture on the right shows a woman wearing Hanfu facing the front.', 'prediction': 0, 'label': 1}
444	42-7##42-14	0	1	{'org_sentence': 'The picture on the left shows more than one person wearing Hanfu, and the picture on the right shows a woman wearing Hanfu facing the front.', 'sentence': 'The picture on the left shows more than one person wearing Hanfu, and the picture on the right shows a woman wearing Hanfu facing the front.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The picture on the left shows more than one person wearing Hanfu, and the picture on the right shows a woman wearing Hanfu facing the front.', 'sentence': 'Left part scenario:victorian ,right part scenario: a walkway lined with bamboo. Therefore, the sentence is right or wrong: The picture on the left shows more than one person wearing Hanfu, and the picture on the right shows a woman wearing Hanfu facing the front.', 'prediction': 0, 'label': 1}
446	54-12##54-15	0	1	{'org_sentence': 'Fruit is added to the porridge on the right, and there is no spoon in the porridge on the left.', 'sentence': 'Fruit is added to the porridge on the right, and there is no spoon in the porridge on the left.', 'prediction': 1, 'label': 1}	{'org_sentence': 'Fruit is added to the porridge on the right, and there is no spoon in the porridge on the left.', 'sentence': 'Left part scenario:a bowl of rice ,right part scenario: bowl of cereal. Therefore, the sentence is right or wrong: Fruit is added to the porridge on the right, and there is no spoon in the porridge on the left.', 'prediction': 0, 'label': 1}
447	54-19##54-16	0	1	{'org_sentence': 'Fruit is added to the porridge on the right, and there is no spoon in the porridge on the left.', 'sentence': 'Fruit is added to the porridge on the right, and there is no spoon in the porridge on the left.', 'prediction': 1, 'label': 1}	{'org_sentence': 'Fruit is added to the porridge on the right, and there is no spoon in the porridge on the left.', 'sentence': 'Left part scenario:a bowl of soup ,right part scenario: breakfast. Therefore, the sentence is right or wrong: Fruit is added to the porridge on the right, and there is no spoon in the porridge on the left.', 'prediction': 0, 'label': 1}
456	11-2##11-13	1	0	{'org_sentence': 'The picture on the left happens to have only one dark horse, and the picture on the right has at least two.', 'sentence': 'The picture on the left happens to have only one dark horse, and the picture on the right has at least two.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the left happens to have only one dark horse, and the picture on the right has at least two.', 'sentence': 'Left part scenario:a fenced in field ,right part scenario: a field. Therefore, the sentence is right or wrong: The picture on the left happens to have only one dark horse, and the picture on the right has at least two.', 'prediction': 1, 'label': 1}
462	51-8##51-2	0	-1	{'org_sentence': 'There is only one person blowing suona in both pictures, and the person on the right is facing to the left.', 'sentence': 'There is only one person blowing suona in both pictures, and the person on the right is facing to the left.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There is only one person blowing suona in both pictures, and the person on the right is facing to the left.', 'sentence': 'Left part scenario:china ,right part scenario: performance. Therefore, the sentence is right or wrong: At least one real person (not a sculpture) can be seen blowing suona in both pictures.', 'prediction': 1, 'label': 0}
463	51-11##51-7	0	-1	{'org_sentence': 'There is only one person blowing suona in both pictures, and the person on the right is facing to the left.', 'sentence': 'There is only one person blowing suona in both pictures, and the person on the right is facing to the left.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There is only one person blowing suona in both pictures, and the person on the right is facing to the left.', 'sentence': 'Left part scenario:lamp ,right part scenario: old. Therefore, the sentence is right or wrong: There is only one person blowing suona in both pictures, and the person on the right is facing to the left.', 'prediction': 1, 'label': 0}
471	3-11##3-19	0	-1	{'org_sentence': 'There is more than one chicken in both pictures, and the chicken feathers in the left picture are of different colors.', 'sentence': 'There is more than one chicken in both pictures, and the chicken feathers in the left picture are of different colors.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There is more than one chicken in both pictures, and the chicken feathers in the left picture are of different colors.', 'sentence': 'Left part scenario:rooster ,right part scenario: chicken. Therefore, the sentence is right or wrong: At least one picture contains a chick; at least one picture can see an adult chicken.', 'prediction': 1, 'label': 0}
